Elira Pendora,#95C8D8
Pomu Rainpuff,#258E70
Finana Ryugu,#35D9AD
Rosemi Lovelock,#DC3753
Petra Gurin,#FFAE42
Enna Alouette,#858ED1
Nina Kosaka,#660000
Reimu Endou,#B90B4A
Millie Parfait,#FEBC87
Ike Eveland,#348EC7
Mysta Rias,#C3552B
Vox Akuma,#960018
Luca Kaneshiro,#D4AF37
Shu Yamino,#A660A7
Alban Knox,#FF5F00
Yugo Asuma,#1F51FF
Fulgur Ovid,#FF0000
Sonny Brisko,#FFF321
Uki Violeta,#B600FF
Kyo Kaneko,#00AFCC
Maria Marionette,#E55A9B
Aster Arcadia,#6662A4
Aia Amare,#FFFEF7
Ren Zotto,#429B76
Scarle Yonaguni,#E60012
Doppio Dropscythe,#A50082
Hex Haywire,#007199
Meloco Kyoran,#A09BD8
Ver Vermillion,#D5345E
Kotoka Torahime,#DC6B9A
Yu Q. Wilson,#F5EB28
Vantacrow Bringer,#8728E1
Vezalius Bandage,#C34196
Claude Clawmark,#7D3CAF
Victoria Brightshield,#D7D2EB
Kunai Nakasato,#3C6E64
Ryoma Barrenwort,#952D22
Twisty Amanozako,#78ECD5
Klara Charmwood,#DFCDBF
